question,correct_answer
How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?
Who was President when Wilson finished Congressional Government?,Grover Cleveland
What do all turtles and tortoises breathe?,air
What does the word Ghana mean?,warrior king
What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare
What is the weather like in summer?,relatively warm
Where was James Monroe born?,"Westmoreland County, Virginia"
What was Scots-Irish and Scottish?,His ancestry
Does otter give birth or lay egg?,give birth
"What do kangaroos use for ""crawl-walking?""",its hind feet
Did Wilson's father own slaves?,Yeah
"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.
What Roman province was Liechtenstein part of?,Raetia.
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
How old was Lincoln in 1816?,seven
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter."
Who is Daffy Duck?,A silly cartoon character
What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet."
What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region
Who dismantled partisan and sectional coalitions ?,many congressmen
Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington
In which years were John Monroe elected as President?,1817-1825
What body of water lies to the south of Finland?,the Gulf of Finland
What is the average life expectancy of a kangaroo?,4.6 years
What animal attracts the most humor and silliness?,The duck
"What consists of a low, barren plain, covered with sand?",Much of the country.
How many species of penguins are there?,between 17 and 20 living species
Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America.
What happened in 1764?,Adams married Abigail Smith
How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.
hard,hard
Why did Lincoln issue the Emancipation Proclamation?,To free slaves
What arrived in Britain?,The first Canadian Army units in WW II
What do economy and law have in common?,(not sure how to answer this)
How many times has Uruguay won the World Cup?,Twice.
Who died in childbirth in 1772?,Margaret Miller
What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity"
When did he die?,June 24 1908
Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands."
Where is old Ghana in relation to present Ghana?,500 miles north
What is one significant non-official language?,Chinese.
How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land
What is an economic use of a duck?,Meat
Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did
What are some economic uses for duck?,"Meat,eggs,feathers"
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West
How do cuba and declining participation relate?,Canada maintains full relations with both.
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history"
What is the official language of Liechtenstein?,German.
How much time to penguins spend on land?,half of their life
What positions Ford played in the school football team?,Center and linebacker
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria
What are the largest and politically dominant ethnic group?,the Javanese
How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year
What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos."
Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand
How much do sea otters weigh?,30 kg (about 65 pounds)
When are sperm cells transferred to the female?,during pairing
